X,Y,Loc,DaysOver35,DaysOver40,Lat,Long
1221750.94009185,2785230.49508447,Malda,"17","3",25.010841,88.141097
1584663.57653293,2838575.69196154,Cherrapunji,"0","0",25.27021,91.732288
1598200.11705093,2874474.97533489,Shillong,"0","0",25.578773,91.893254
1726552.12715271,2905359.96426592,Lumding,"6","0",25.751627,93.172876
1822700.9866713,2906033.43849062,Kohima,"0","0",25.675113,94.1086
-396561.200271995,2711316.27822405,Deesa,"29","16",24.258506,72.190674
-223288.51556627,2742321.16457131,Udaipur Dabok,"26","9",24.625606,73.865952
125377.526067641,2729287.0758079,Guna,"25","18",24.632365,77.300176
390850.788977015,2746760.49827666,Khajuraho,"27","20",24.831845,79.919855
483017.348753478,2720724.09953542,Satna,"25","16",24.600508,80.832243
530759.895759131,2713632.59498747,Rewa,"25","16",24.536248,81.303695
589488.687157197,2698311.21842602,Sidhi,"27","19",24.395604,81.882528
812937.887980021,2662802.16041763,Daltonganj,"28","22",24.046512,84.076846
904555.871193559,2747777.88585114,Gaya,"27","16",24.791396,85.000234
1240047.07088005,2684341.03912415,Berhampore,"26","5",24.098261,88.268411
1621847.67735494,2735194.77537088,Kailashahar,"10","0",24.326812,92.012628
1695683.4583426,2798596.63642976,Silchar,"10","0",24.833271,92.778905
1811146.14661117,2801420.59733304,Imphal Tulihal,"3","0",24.764711,93.897257
-751578.482235256,2625454.70834315,Naliya,"22","2",23.260931,68.82733
-659262.402765581,2631323.53221758,Bhuj-Rudramata,"28","8",23.379968,69.706697
-365817.881118221,2571040.77225896,Ahmadabad,"29","22",23.022505,72.571362
-110390.118027712,2592829.98189375,Ratlam,"28","19",23.33151,75.036668
-33895.5982805819,2572628.92177703,Ujjain,"23","11",23.176467,75.788516
146632.845529114,2621348.66735496,Bhopal / Bairagarh,"25","15",23.664274,77.536146
269583.642340293,2638219.28033077,Sagar,"25","16",23.838805,78.737807
170949.385103049,2584016.04522542,Raisen,"25","13",23.332733,77.782397
340975.873777832,2636535.88348241,Damoh,"26","21",23.832302,79.438659
390874.166827949,2562581.08565679,Jabalpur,"25","14",23.168579,79.93388
482593.422195265,2602311.41916523,Umaria,"25","15",23.53098,80.829475
723859.929206077,2559526.63660437,Ambikapur,"25","9",23.129437,83.186114
942486.500951091,2585264.18901553,M. O. Ranchi,"25","6",23.317296,85.32506
1122666.003775,2582182.86140137,Bankura,"26","9",23.231269,87.078387
1182701.3918905,2634582.47865421,Shanti Niketan,"21","5",23.677647,87.685232
1203130.41664578,2585910.91175215,Burdwan,"23","3",23.232421,87.861479
470703.408136866,2438323.43980536,Malanjkhand,"25","18",22.049412,80.716078
1551464.17621294,2673984.17536239,Agartala,"15","1",23.831457,91.286778
1689577.88514261,2684991.1459789,Lengpui,"10","0",23.833234,92.626371
-733747.335202955,2534528.38204722,Okha,"0","0",22.470801,69.06923
-746343.661851111,2509901.12353471,Dwarka,"0","0",22.244198,68.968456
-554360.731797138,2502335.65194821,Rajkot,"29","21",22.303895,70.80216
-307106.650215484,2487818.50070427,Baroda Aerodrome,"29","16",22.307159,73.181219
-28571.7136307263,2521654.53615107,Indore,"25","7",22.719569,75.857726
164030.850445005,2519766.98641263,Hoshangabad,"25","8",22.751896,77.728866
287229.086877008,2440622.56128461,Chhindwara,"25","10",22.057437,78.938173
314653.547472637,2538828.11366935,Narsinghpur,"28","24",22.947318,79.192327
591094.734735536,2528923.02234711,Pendra Road,"24","5",22.865662,81.887988
617705.947939237,2442084.25257521,Bilaspur,"26","21",22.079655,82.140915
1034480.43020703,2531309.12875482,Jamshedpur,"27","17",22.804567,86.202875
1265070.15768195,2523065.12014433,Calcutta / Dum Dum,"24","0",22.642011,88.431169
1242500.10728848,2471814.87945619,Diamond Harbour,"21","0",22.192688,88.189488
1290409.11856237,2487316.16841688,Canning,"26","2",22.310373,88.657897
-682304.526874352,2436832.76732003,Porbandar,"8","3",21.641698,69.629306
-619858.38350014,2393958.44967602,Keshod,"27","4",21.301182,70.249887
-461727.641954359,2360391.5716809,Mahuva,"24","1",21.09216,71.770463
-417467.160804837,2433170.29445175,Bhaunagar,"27","9",21.764473,72.15193
-350165.192451434,2362979.57154781,Surat,"14","2",21.17024,72.831061
-56765.1272617648,2423280.70697669,Khargone,"27","19",21.825746,75.618406
19048.5077708956,2421435.04630625,Khandwa,"25","18",21.831404,76.349761
324590.087823063,2343684.98764559,Nagpur Sonegaon,"26","20",21.186154,79.310289
416702.398716757,2372713.09176276,Gondia,"26","21",21.454948,80.196071
575613.015045726,2340987.66827906,Mana,"25","18",21.168662,81.728353
565328.623920929,2350099.51817752,Pbo Raipur,"27","20",21.251384,81.629641
808958.217303351,2376762.41802091,Sambalpur,"27","22",21.466872,83.981167
810716.258469867,2419862.46716066,Jharsuguda,"28","23",21.855438,84.006166
975003.320344333,2397415.81235704,Keongjhargarh,"23","2",21.616703,85.58599
1113340.61053343,2388375.92855414,Balasore,"20","0",21.493358,86.913479
1199180.19785954,2423600.24139663,Contai,"17","0",21.778109,87.751743
1174440.32321454,2405165.96894035,Digha,"22","0",21.622218,87.506563
-610911.548356044,2349951.36535146,Veraval,"2","0",20.915898,70.362852
-546729.351595912,2323541.09389517,Diu,"6","1",20.718092,70.98579
-354373.189000317,2276779.74190854,Daman,"4","0",20.397374,72.832799
