FIPS,NumBlds,BldsSFHA,BldsPctSFHA,Place,Policies,PctPolicies,PctDiff,Var1Class,Var2Class,VarClass
54019,24507,1491,6.083976007,FAYETTE COUNTY WEST VIRGINIA,148,0.603909087,-5.48006692,C,2,C2
48231,49002,1492,3.044773683,HUNT COUNTY TEXAS,226,0.461205665,-2.583568018,B,2,B2
31019,22559,1494,6.622633982,BUFFALO COUNTY NEBRASKA,186,0.824504632,-5.79812935,C,2,C2
47013,24441,1495,6.116771,CAMPBELL COUNTY TENNESSEE,61,0.249580623,-5.867190377,C,2,C2
40135,25897,1496,5.776730895,SEQUOYAH COUNTY OKLAHOMA,104,0.401590918,-5.375139977,C,2,C2
48497,41642,1503,3.609336727,WISE COUNTY TEXAS,213,0.51150281,-3.097833917,B,2,B2
46013,25894,1507,5.819881054,BROWN COUNTY SOUTH DAKOTA,168,0.64879895,-5.171082104,C,2,C2
54035,18097,1508,8.332872852,JACKSON COUNTY WEST VIRGINIA,127,0.701773775,-7.631099077,C,2,C2
4009,16046,1513,9.429141219,GRAHAM COUNTY ARIZONA,243,1.514396111,-7.914745108,C,2,C2
42055,73482,1515,2.061729403,FRANKLIN COUNTY PENNSYLVANIA,277,0.376963066,-1.684766337,B,2,B2
51163,17113,1518,8.870449366,ROCKBRIDGE COUNTY VIRGINIA,115,0.67200374,-8.198445626,C,2,C2
21121,19223,1518,7.896790303,KNOX COUNTY KENTUCKY,114,0.593039588,-7.303750715,C,2,C2
1127,43622,1522,3.489065151,WALKER COUNTY ALABAMA,110,0.252166338,-3.236898813,B,2,B2
38015,31782,1522,4.788874206,BURLEIGH COUNTY NORTH DAKOTA,693,2.180479517,-2.608394689,B,2,B2
13147,19192,1528,7.961650688,HART COUNTY GEORGIA,11,0.057315548,-7.90433514,C,2,C2
42099,28459,1531,5.379668998,PERRY COUNTY PENNSYLVANIA,246,0.86440142,-4.515267578,B,2,B2
40101,37819,1536,4.061450594,MUSKOGEE COUNTY OKLAHOMA,194,0.512969671,-3.548480923,B,2,B2
31025,19194,1537,8.007710743,CASS COUNTY NEBRASKA,471,2.453891841,-5.553818902,C,2,C2
5035,21683,1537,7.088502513,CRITTENDEN COUNTY ARKANSAS,482,2.22293963,-4.865562883,B,2,B2
47009,65957,1537,2.330306109,BLOUNT COUNTY TENNESSEE,298,0.451809512,-1.878496597,B,2,B2
17099,67856,1542,2.272459326,LA SALLE COUNTY ILLINOIS,328,0.483376562,-1.789082764,B,2,B2
8001,115678,1543,1.333875067,ADAMS COUNTY COLORADO,365,0.315531043,-1.018344024,B,2,B2
13117,75450,1551,2.055666004,FORSYTH COUNTY GEORGIA,300,0.397614314,-1.65805169,B,2,B2
48013,23977,1557,6.493723151,ATASCOSA COUNTY TEXAS,173,0.721524795,-5.772198356,C,2,C2
29031,38057,1558,4.093859211,CAPE GIRARDEAU COUNTY MISSOURI,144,0.378379799,-3.715479412,B,2,B2
30063,51116,1559,3.049925659,MISSOULA COUNTY MONTANA,266,0.520385007,-2.529540652,B,2,B2
40097,27326,1560,5.708848716,MAYES COUNTY OKLAHOMA,129,0.472077875,-5.236770841,C,2,C2
6061,134224,1569,1.168941471,PLACER COUNTY CALIFORNIA,1375,1.024406961,-0.14453451,B,2,B2
42063,48652,1572,3.231110746,INDIANA COUNTY PENNSYLVANIA,245,0.50357642,-2.727534326,B,2,B2
32021,4246,1575,37.09373528,MINERAL COUNTY NEVADA,119,2.802637777,-34.2910975,C,2,C2
39073,17827,1583,8.879789084,HOCKING COUNTY OHIO,172,0.964828631,-7.914960453,C,2,C2
21153,8986,1585,17.63854885,MAGOFFIN COUNTY KENTUCKY,87,0.968172713,-16.67037614,C,2,C2
35055,25640,1591,6.205148206,TAOS COUNTY NEW MEXICO,91,0.354914197,-5.850234009,C,2,C2
30049,37997,1599,4.208226965,LEWIS & CLARK COUNTY MONTANA,185,0.486880543,-3.721346422,B,2,B2
17195,36647,1601,4.368706852,WHITESIDE COUNTY ILLINOIS,210,0.573034628,-3.795672224,B,2,B2
13253,6768,1605,23.71453901,SEMINOLE COUNTY GEORGIA,149,2.201536643,-21.51300237,C,2,C2
17027,24734,1605,6.489043422,CLINTON COUNTY ILLINOIS,43,0.173849761,-6.315193661,C,2,C2
42109,24658,1614,6.545543029,SNYDER COUNTY PENNSYLVANIA,286,1.15986698,-5.385676049,C,2,C2
40037,44989,1615,3.589766387,CREEK COUNTY OKLAHOMA,157,0.348974194,-3.240792193,B,2,B2
41059,34237,1616,4.720039723,UMATILLA COUNTY OREGON,262,0.765253965,-3.954785758,B,2,B2
19023,15623,1634,10.45893874,BUTLER COUNTY IOWA,180,1.152147475,-9.306791265,C,2,C2
17077,28043,1635,5.83033199,JACKSON COUNTY ILLINOIS,135,0.481403559,-5.348928431,C,2,C2
48351,10102,1636,16.19481291,NEWTON COUNTY TEXAS,320,3.167689566,-13.02712334,C,2,C2
50021,37389,1636,4.375618497,RUTLAND COUNTY VERMONT,255,0.682018776,-3.693599721,B,2,B2
48181,64006,1638,2.559135081,GRAYSON COUNTY TEXAS,422,0.659313189,-1.899821892,B,2,B2
5041,7684,1639,21.33003644,DESHA COUNTY ARKANSAS,171,2.225403436,-19.104633,C,2,C2
21019,20689,1641,7.931751172,BOYD COUNTY KENTUCKY,281,1.358209677,-6.573541495,C,2,C2
29071,60014,1651,2.751024761,FRANKLIN COUNTY MISSOURI,281,0.468224081,-2.28280068,B,2,B2
36023,23983,1654,6.896551724,CORTLAND COUNTY NEW YORK,268,1.1174582,-5.779093524,C,2,C2
55013,24317,1655,6.805938233,BURNETT COUNTY WISCONSIN,74,0.304313855,-6.501624378,C,2,C2
13029,13015,1659,12.74683058,BRYAN COUNTY GEORGIA,3551,27.28390319,14.53707261,A,2,A2
20079,19713,1661,8.425911835,HARVEY COUNTY KANSAS,186,0.943539796,-7.482372039,C,2,C2
39151,161795,1665,1.029080009,STARK COUNTY OHIO,441,0.272567137,-0.756512872,B,2,B2
40113,32721,1673,5.112924422,OSAGE COUNTY OKLAHOMA,96,0.293389566,-4.819534856,B,2,B2
28081,36740,1675,4.559063691,LEE COUNTY MISSISSIPPI,397,1.08056614,-3.478497551,B,2,B2
19103,47510,1682,3.540307304,JOHNSON COUNTY IOWA,610,1.283940223,-2.256367081,B,2,B2
5005,27999,1684,6.014500518,BAXTER COUNTY ARKANSAS,141,0.503589414,-5.510911104,C,2,C2
48041,59725,1706,2.856425283,BRAZOS COUNTY TEXAS,1421,2.379238175,-0.477187108,B,2,B2
29113,33080,1710,5.169286578,LINCOLN COUNTY MISSOURI,244,0.737605804,-4.431680774,B,2,B2
13215,58025,1723,2.969409737,MUSCOGEE COUNTY GEORGIA,705,1.214993537,-1.7544162,B,2,B2
54049,29824,1726,5.787285408,MARION COUNTY WEST VIRGINIA,214,0.717542918,-5.06974249,C,2,C2
21205,13448,1730,12.86436645,ROWAN COUNTY KENTUCKY,290,2.156454491,-10.70791196,C,2,C2
26015,39119,1731,4.424959738,BARRY COUNTY MICHIGAN,186,0.475472277,-3.949487461,B,2,B2
37047,37793,1739,4.601381208,COLUMBUS COUNTY NORTH CAROLINA,543,1.436774006,-3.164607202,B,2,B2
37099,25275,1740,6.884272997,JACKSON COUNTY NORTH CAROLINA,255,1.008902077,-5.87537092,C,2,C2
26021,80138,1745,2.177493823,BERRIEN COUNTY MICHIGAN,415,0.517856697,-1.659637126,B,2,B2
6011,12886,1748,13.56510942,COLUSA COUNTY CALIFORNIA,410,3.181747633,-10.38336179,C,2,C2
21159,6240,1752,28.07692308,MARTIN COUNTY KENTUCKY,191,3.060897436,-25.01602564,C,2,C2
51173,22136,1752,7.914709071,SMYTH COUNTY VIRGINIA,114,0.514998193,-7.399710878,C,2,C2
53063,137504,1753,1.274872004,SPOKANE COUNTY WASHINGTON,278,0.202175937,-1.072696067,B,2,B2
31151,12663,1758,13.88296612,SALINE COUNTY NEBRASKA,129,1.018715944,-12.86425018,C,2,C2
39023,57337,1758,3.066082983,CLARK COUNTY OHIO,351,0.612170152,-2.453912831,B,2,B2
42067,17884,1763,9.857973608,JUNIATA COUNTY PENNSYLVANIA,115,0.643032879,-9.214940729,C,2,C2
12121,25118,1763,7.018870929,SUWANNEE COUNTY FLORIDA,471,1.875149295,-5.143721634,C,2,C2
48021,40091,1766,4.404978674,BASTROP COUNTY TEXAS,595,1.484123619,-2.920855055,B,2,B2
26109,19395,1767,9.110595514,MENOMINEE COUNTY MICHIGAN,79,0.407321475,-8.703274039,C,2,C2
26069,18195,1768,9.716955207,IOSCO COUNTY MICHIGAN,238,1.308051663,-8.408903544,C,2,C2
4005,59584,1768,2.967239527,COCONINO COUNTY ARIZONA,1678,2.816192266,-0.151047261,B,2,B2
28163,12207,1769,14.4916851,YAZOO COUNTY MISSISSIPPI,357,2.924551487,-11.56713361,C,2,C2
1077,49679,1771,3.564886572,LAUDERDALE COUNTY ALABAMA,161,0.324080597,-3.240805975,B,2,B2
13115,44471,1774,3.989116503,FLOYD COUNTY GEORGIA,296,0.665602303,-3.3235142,B,2,B2
39025,55527,1777,3.200244926,CLERMONT COUNTY OHIO,368,0.662740649,-2.537504277,B,2,B2
20191,19898,1780,8.945622676,SUMNER COUNTY KANSAS,151,0.758870238,-8.186752438,C,2,C2
21025,9674,1789,18.49286748,BREATHITT COUNTY KENTUCKY,135,1.395493074,-17.09737441,C,2,C2
48407,17446,1796,10.29462341,SAN JACINTO COUNTY TEXAS,380,2.178149719,-8.116473691,C,2,C2
54051,20374,1807,8.869146952,MARSHALL COUNTY WEST VIRGINIA,184,0.903111809,-7.966035143,C,2,C2
39083,38480,1812,4.708939709,KNOX COUNTY OHIO,160,0.415800416,-4.293139293,B,2,B2
1081,60233,1813,3.009977919,LEE COUNTY ALABAMA,312,0.517988478,-2.491989441,B,2,B2
47163,76435,1821,2.382416432,SULLIVAN COUNTY TENNESSEE,311,0.406881664,-1.975534768,B,2,B2
37081,182984,1824,0.996808464,GUILFORD COUNTY NORTH CAROLINA,963,0.526275521,-0.470532943,B,2,B2
39035,268424,1827,0.680639585,CUYAHOGA COUNTY OHIO,1340,0.499210205,-0.18142938,B,2,B2
31037,9666,1832,18.95303124,COLFAX COUNTY NEBRASKA,301,3.114007863,-15.83902338,C,2,C2
5091,21017,1833,8.721511158,MILLER COUNTY ARKANSAS,188,0.894513965,-7.826997193,C,2,C2
31155,19743,1835,9.29443347,SAUNDERS COUNTY NEBRASKA,453,2.294484121,-6.999949349,C,2,C2
32019,29803,1835,6.157098279,LYON COUNTY NEVADA,351,1.177733785,-4.979364494,B,2,B2
35005,32467,1838,5.661132843,CHAVES COUNTY NEW MEXICO,251,0.773092679,-4.888040164,B,2,B2
12007,12919,1839,14.2348479,BRADFORD COUNTY FLORIDA,434,3.359393142,-10.87545476,C,2,C2
30031,40156,1846,4.597071421,GALLATIN COUNTY MONTANA,364,0.906464787,-3.690606634,B,2,B2
48037,45642,1848,4.048902327,BOWIE COUNTY TEXAS,268,0.587178476,-3.461723851,B,2,B2
55121,23960,1856,7.74624374,TREMPEALEAU COUNTY WISCONSIN,97,0.404841402,-7.341402338,C,2,C2
40145,38787,1856,4.785108413,WAGONER COUNTY OKLAHOMA,276,0.711578622,-4.073529791,B,2,B2
21043,18540,1862,10.04314995,CARTER COUNTY KENTUCKY,225,1.213592233,-8.829557717,C,2,C2
20009,19236,1872,9.731752963,BARTON COUNTY KANSAS,106,0.551050114,-9.180702849,C,2,C2
53025,52571,1875,3.566605163,GRANT COUNTY WASHINGTON,212,0.403264157,-3.163341006,B,2,B2
37065,28431,1877,6.601948577,EDGECOMBE COUNTY NORTH CAROLINA,860,3.024867222,-3.577081355,B,2,B2
5131,49122,1881,3.82924148,SEBASTIAN COUNTY ARKANSAS,437,0.889621758,-2.939619722,B,2,B2
50027,33247,1888,5.678707853,WINDSOR COUNTY VERMONT,542,1.630222276,-4.048485577,B,2,B2
